Time (s),Channel 1 (V)
0.002748077,-0.132493864
0.002754327,-0.475815488
0.002760577,-0.778265491
0.002766827,-0.982623601
0.002773077,-1.080715494
0.002779327,-1.088889818
0.002785577,-1.088889818
0.002791827,-1.048018196
0.002798077,-0.949926303
0.002804327,-0.810962789
0.002810577,-0.655650625
0.002816827,-0.51668711
0.002823077,-0.402246569
0.002829327,-0.328677649
0.002835577,-0.320503325
0.002841827,-0.38589792
0.002848077,-0.492164137
0.002854327,-0.639301976
0.002860577,-0.810962789
0.002866827,-0.982623601
0.002873077,-1.146110089
0.002879327,-1.301422252
0.002885577,-1.358642523
0.002891827,-1.399514145
0.002898077,-1.366816848
0.002904327,-1.33411955
0.002910577,-1.244201982
0.002916827,-1.048018196
0.002923077,-0.884531708
0.002929327,-0.663824949
0.002935577,-0.451292515
0.002941827,-0.255108729
0.002948077,-0.124319539
0.002954327,-0.034401971
0.002960577,0.014643976
0.002966827,-0.058924944
0.002973077,-0.197888459
0.002979327,-0.353200622
0.002985577,-0.59025603
0.002991827,-0.778265491
0.002998077,-0.949926303
0.003004327,-1.121587116
0.003010577,-1.211504684
0.003016827,-1.276899279
0.003023077,-1.211504684
0.003029327,-1.12976144
0.003035577,-0.933577654
0.003041827,-0.680173598
0.003048077,-0.369549271
0.003054327,0.014643976
0.003060577,0.415185871
0.003066827,0.881122362
0.003073077,1.281664257
0.003079327,1.731252099
0.003085577,2.148142643
0.003091827,2.466941295
0.003098077,2.753042649
0.003104327,2.892006164
0.003110577,2.924703461
0.003116827,2.842960217
0.003123077,2.622253458
0.003129327,2.262583185
0.003135577,1.739426423
0.003141827,1.134526418
0.003148077,0.423360195
0.003154327,-0.328677649
0.003160577,-1.023495223
0.003166827,-1.644743877
0.003173077,-2.192423612
0.003179327,-2.601139832
0.003185577,-2.846369563
0.003191827,-2.919938483
0.003198077,-2.82184659
0.003204327,-2.48669929
0.003210577,-2.028937124
0.003216827,-1.350468199
0.003223077,-0.680173598
0.003229327,0.15360749
0.003235577,0.995562903
0.003241827,1.78847237
0.003248077,2.524161566
0.003254327,3.137235895
0.003260577,3.594998062
0.003266827,3.872925091
0.003273077,3.954668335
0.003279327,3.81570482
0.003285577,3.472383196
0.003291827,2.957400759
0.003298077,2.352500753
0.003304327,1.608637233
0.003310577,0.872948037
0.003316827,0.071864246
0.003323077,-0.647476301
0.003329327,-1.227853333
0.003335577,-1.726487121
0.003341827,-2.118854692
0.003348077,-2.364084424
0.003354327,-2.470350641
0.003360577,-2.437653344
0.003366827,-2.265992531
0.003373077,-2.004414151
0.003379327,-1.579349282
0.003385577,-1.12976144
0.003391827,-0.680173598
0.003398077,-0.197888459
0.003404327,0.22717641
0.003410577,0.652241279
0.003416827,0.954691281
0.003423077,1.085480472
0.003429327,1.150875067
0.003435577,1.126352094
0.003441827,0.938342633
0.003448077,0.709461549
0.003454327,0.439708844
0.003460577,0.055515598
0.003466827,-0.287806027
0.003473077,-0.671999274
0.003479327,-0.966274952
